Date,fdate,beta_AR_1,beta_AR_2,beta_AR_3,beta_AR_4,beta_AR_5,beta_TR_1,beta_TR_2,beta_TR_3,beta_TR_4,beta_TR_5,beta_AR_Sig,beta_TR_Sig,beta_AR_130,beta_TR_130,beta_TR_BP,beta_TR_LO,beta_CAR_1,beta_CAR_2,beta_CAR_3,beta_CAR_4,beta_CAR_5,beta_CTR_1,beta_CTR_2,beta_CTR_3,beta_CTR_4,beta_CTR_5,beta_CAR_LS,beta_CTR_LS,beta_CAR_SW,beta_CTR_SW,beta_CTR_BP,beta_CTR_LO,beta_CXR_LO,beta_CTR_13,beta_CADD,beta_CTDD
2000-02-29,2000-01-31,-5.01%,-5.36%,-2.54%,-3.25%,-2.02%,22.45%,7.38%,8.75%,6.22%,16.98%,3.10%,-7.40%,-0.39%,13.77%,2.38%,15.99%,95,95,97,97,98,122,107,109,106,117,2.99%,-5.47%,3.10%,-7.40%,2.38%,15.99%,13.60%,13.77%,0.00%,-7.40%
2000-03-31,2000-02-29,15.29%,7.11%,3.40%,1.78%,7.82%,-1.40%,3.64%,1.45%,1.03%,0.05%,-8.77%,2.76%,4.09%,1.15%,6.85%,0.32%,110,101,101,98,106,121,111,110,107,117,-4.71%,-4.10%,-5.95%,-4.84%,9.40%,16.36%,6.18%,15.07%,-8.77%,-4.84%
2000-04-30,2000-03-31,0.56%,0.18%,-0.49%,-0.82%,-5.43%,-13.18%,-4.33%,-10.00%,-4.10%,-11.02%,-5.47%,3.06%,-6.32%,-9.51%,-5.37%,-10.43%,110,102,100,98,100,105,106,99,103,104,-10.42%,-2.03%,-11.09%,-1.93%,3.52%,4.22%,0.81%,4.13%,-13.76%,-1.93%
2000-05-31,2000-04-30,-0.51%,-0.43%,-0.15%,-0.07%,-1.01%,-12.72%,-3.99%,-4.97%,-1.70%,-5.29%,-0.44%,8.12%,-1.09%,-2.41%,-3.56%,-4.85%,110,101,100,98,99,91,102,94,101,99,-10.86%,5.24%,-11.49%,6.04%,-0.16%,-0.84%,-0.49%,1.61%,-14.14%,0.00%
2000-06-30,2000-05-31,-5.81%,-0.49%,0.76%,-0.08%,-2.19%,16.59%,4.70%,7.24%,3.36%,5.53%,3.41%,-12.63%,-1.31%,0.87%,4.53%,4.66%,103,101,101,98,97,107,107,101,105,104,-7.64%,-6.40%,-8.46%,-7.36%,4.37%,3.79%,-0.37%,2.50%,-11.21%,-12.63%
2000-07-31,2000-06-30,7.92%,1.10%,-0.79%,-1.51%,-1.42%,-5.64%,-0.02%,-2.57%,0.26%,-1.07%,-10.82%,5.01%,-4.91%,0.53%,-1.97%,-0.97%,111,102,100,96,95,101,107,99,105,103,-16.26%,-2.12%,-18.37%,-2.71%,2.31%,2.78%,0.63%,3.04%,-20.82%,-8.25%
2000-08-31,2000-07-31,3.12%,1.38%,1.43%,-0.16%,-0.38%,11.15%,6.61%,4.82%,3.66%,4.31%,-3.24%,-6.99%,-1.39%,1.98%,7.47%,4.08%,115,103,102,96,95,112,114,103,109,107,-19.20%,-8.82%,-21.01%,-9.51%,9.95%,6.97%,-2.78%,5.09%,-23.39%,-14.67%
2000-09-30,2000-08-31,3.56%,1.76%,1.21%,0.15%,1.62%,-9.37%,-2.25%,-3.82%,-1.38%,-1.68%,-2.30%,8.10%,0.81%,0.96%,-4.71%,-1.47%,119,105,103,96,97,101,112,99,107,106,-20.77%,-1.81%,-22.83%,-2.18%,4.77%,5.40%,0.37%,6.10%,-25.15%,-7.75%
2000-10-31,2000-09-30,-1.79%,-2.70%,-2.53%,-3.53%,-4.15%,-12.02%,-4.08%,-7.10%,-3.13%,-5.08%,-2.79%,7.89%,-4.75%,-2.23%,-2.05%,-4.60%,117,102,100,93,93,89,107,92,104,100,-22.64%,5.00%,-24.98%,5.54%,2.62%,0.55%,-2.19%,3.73%,-27.23%,-0.47%
2000-11-30,2000-10-31,0.24%,-2.41%,-1.26%,-2.29%,-2.79%,-24.91%,-9.96%,-10.30%,-5.79%,-8.52%,-2.74%,18.40%,-3.57%,-2.50%,-9.69%,-8.02%,117,100,99,91,90,67,96,83,98,92,-24.98%,22.21%,-27.03%,24.96%,-7.32%,-7.51%,-0.55%,1.14%,-29.23%,0.00%
